vehicles | 20 | 40 | 2 | [[1530, 1629, 2124, 3114], [1468, 1554, 1984, 2844], [1461, 1546, 1971, 2821]] | 
vehicles | 20 | 40 | 3 | [[1175, 1278, 1793, 2823], [1116, 1207, 1662, 2572], [1106, 1195, 1640, 2530]] | 
vehicles | 20 | 40 | 4 | [[1005, 1113, 1653, 2733], [948, 1044, 1524, 2484], [940, 1034, 1504, 2444]] | 
vehicles | 20 | 40 | 5 | [[1014, 1154, 1854, 3254], [1005, 1142, 1827, 3197], [997, 1132, 1807, 3157]] | 
vehicles | 20 | 40 | 6 | [[1005, 1155, 1905, 3405], [999, 1147, 1887, 3367], [996, 1143, 1878, 3348]] | 
vehicles | 20 | 40 | 7 | [[1010, 1171, 1976, 3586], [1001, 1159, 1949, 3529], [1001, 1159, 1949, 3529]] | 
vehicles | 10 | 20 | 2 | [[1466, 1539, 1904, 2634], [1432, 1503, 1858, 2568], [1418, 1487, 1832, 2522]] | 
vehicles | 10 | 20 | 3 | [[1152, 1265, 1830, 2960], [1053, 1143, 1593, 2493], [1045, 1133, 1573, 2453]] | 
vehicles | 10 | 20 | 4 | [[976, 1092, 1672, 2832], [921, 1023, 1533, 2553], [910, 1009, 1504, 2494]] | 
vehicles | 10 | 20 | 5 | [[889, 1018, 1663, 2953], [837, 953, 1533, 2693], [829, 943, 1513, 2653]] | 
vehicles | 10 | 20 | 6 | [[860, 999, 1694, 3084], [849, 985, 1665, 3025], [802, 926, 1546, 2786]] | 
vehicles | 10 | 20 | 7 | [[841, 990, 1735, 3225], [839, 988, 1733, 3223], [833, 980, 1715, 3185]] | 
vehicles | 30 | 60 | 2 | [[1562, 1663, 2168, 3178], [1522, 1619, 2104, 3074], [1504, 1599, 2074, 3024]] | 
vehicles | 30 | 60 | 3 | [[1175, 1292, 1877, 3047], [1119, 1225, 1755, 2815], [1103, 1207, 1727, 2767]] | 
vehicles | 30 | 60 | 4 | [[1021, 1151, 1801, 3101], [973, 1092, 1687, 2877], [959, 1076, 1661, 2831]] | 
vehicles | 30 | 60 | 5 | [[1087, 1258, 2113, 3823], [1043, 1203, 2003, 3603], [954, 1093, 1788, 3178]] | 
vehicles | 30 | 60 | 6 | [[1023, 1194, 2049, 3759], [979, 1139, 1939, 3539], [934, 1084, 1834, 3334]] | 
vehicles | 30 | 60 | 7 | [[969, 1140, 1995, 3705], [925, 1085, 1885, 3485], [882, 1032, 1782, 3282]] | 
vehicles | 60 | 120 | 2 | [[1274, 1448, 2318, 4058], [1221, 1381, 2181, 3781], [1174, 1322, 2062, 3542]] | 
vehicles | 60 | 120 | 3 | [[1164, 1340, 2220, 3980], [1117, 1281, 2101, 3741], [1073, 1226, 1991, 3521]] | 
vehicles | 60 | 120 | 4 | [[1129, 1306, 2191, 3961], [1085, 1251, 2081, 3741], [1082, 1247, 2072, 3722]] | 
vehicles | 60 | 120 | 5 | [[1097, 1274, 2159, 3929], [1094, 1270, 2150, 3910], [1091, 1266, 2141, 3891]] | 
vehicles | 60 | 120 | 6 | [[1074, 1251, 2136, 3906], [1074, 1251, 2136, 3906], [1071, 1247, 2127, 3887]] | 
vehicles | 60 | 120 | 7 | [[1046, 1223, 2108, 3878], [1046, 1223, 2108, 3878], [1043, 1219, 2099, 3859]] | 
vehicles | 60 | 120 | 2 | [[1413, 1512, 2007, 2997], [1356, 1440, 1860, 2700], [1346, 1427, 1832, 2642]] | 
vehicles | 60 | 120 | 3 | [[976, 1081, 1606, 2656], [923, 1014, 1469, 2379], [919, 1009, 1459, 2359]] | 
vehicles | 60 | 120 | 4 | [[857, 969, 1529, 2649], [813, 914, 1419, 2429], [809, 909, 1409, 2409]] | 
vehicles | 60 | 120 | 5 | [[906, 1040, 1710, 3050], [900, 1032, 1692, 3012], [896, 1027, 1682, 2992]] | 
vehicles | 60 | 120 | 6 | [[883, 1018, 1693, 3043], [880, 1014, 1684, 3024], [873, 1005, 1665, 2985]] | 
vehicles | 60 | 120 | 7 | [[854, 989, 1664, 3014], [851, 985, 1655, 2995], [844, 976, 1636, 2956]] | 
vehicles | 30 | 60 | 2 | [[1357, 1490, 2155, 3485], [1269, 1382, 1947, 3077], [1258, 1370, 1930, 3050]] | 
vehicles | 30 | 60 | 3 | [[1130, 1266, 1946, 3306], [1048, 1164, 1744, 2904], [1043, 1158, 1733, 2883]] | 
vehicles | 30 | 60 | 4 | [[1076, 1226, 1976, 3476], [991, 1120, 1765, 3055], [989, 1118, 1763, 3053]] | 
vehicles | 30 | 60 | 5 | [[1033, 1193, 1993, 3593], [948, 1087, 1782, 3172], [907, 1036, 1681, 2971]] | 
vehicles | 30 | 60 | 6 | [[961, 1121, 1921, 3521], [917, 1066, 1811, 3301], [876, 1015, 1710, 3100]] | 
vehicles | 30 | 60 | 7 | [[920, 1090, 1940, 3640], [876, 1035, 1830, 3420], [876, 1035, 1830, 3420]] | 
vehicles | 30 | 60 | 2 | [[1511, 1579, 1919, 2599], [1431, 1483, 1743, 2263], [1372, 1414, 1624, 2044]] | 
vehicles | 30 | 60 | 3 | [[1006, 1092, 1522, 2382], [943, 1015, 1375, 2095], [924, 993, 1338, 2028]] | 
vehicles | 30 | 60 | 4 | [[945, 1047, 1557, 2577], [845, 923, 1313, 2093], [836, 914, 1304, 2084]] | 
vehicles | 30 | 60 | 5 | [[898, 1007, 1552, 2642], [807, 895, 1335, 2215], [795, 882, 1317, 2187]] | 
vehicles | 30 | 60 | 6 | [[863, 975, 1535, 2655], [772, 863, 1318, 2228], [761, 851, 1301, 2201]] | 
vehicles | 30 | 60 | 7 | [[867, 990, 1605, 2835], [778, 880, 1390, 2410], [767, 868, 1373, 2383]] | 
vehicles | 30 | 60 | 2 | [[1839, 1898, 2193, 2783], [1797, 1853, 2133, 2693], [1771, 1824, 2089, 2619]] | 
vehicles | 30 | 60 | 3 | [[1358, 1438, 1838, 2638], [1331, 1410, 1805, 2595], [1318, 1396, 1786, 2566]] | 
vehicles | 30 | 60 | 4 | [[1098, 1196, 1686, 2666], [1033, 1119, 1549, 2409], [1018, 1102, 1522, 2362]] | 
vehicles | 30 | 60 | 5 | [[929, 1031, 1541, 2561], [869, 959, 1409, 2309], [858, 947, 1392, 2282]] | 
vehicles | 30 | 60 | 6 | [[946, 1071, 1696, 2946], [890, 1003, 1568, 2698], [879, 991, 1551, 2671]] | 
vehicles | 30 | 60 | 7 | [[903, 1028, 1653, 2903], [849, 962, 1527, 2657], [838, 950, 1510, 2630]] | 
vehicles | 20 | 40 | 2 | [[1494, 1538, 1758, 2198], [1463, 1504, 1709, 2119], [1430, 1464, 1634, 1974]] | 
