f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.2 | 0.001 | [[1654, 1669, 1729, 1789, 1939], [1447, 1462, 1522, 1582, 1732], [1279, 1294, 1354, 1414, 1564]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.2 | 0.003 | [[1654, 1669, 1729, 1789, 1939], [1447, 1462, 1522, 1582, 1732], [1279, 1294, 1354, 1414, 1564]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.2 | 0.005 | [[1646, 1651, 1671, 1691, 1741], [1439, 1444, 1464, 1484, 1534], [1271, 1276, 1296, 1316, 1366]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.2 | 0.01 | [[1654, 1654, 1654, 1654, 1654], [1447, 1447, 1447, 1447, 1447], [1276, 1276, 1276, 1276, 1276]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.15 | 0.001 | [[1650, 1665, 1725, 1785, 1935], [1443, 1458, 1518, 1578, 1728], [1275, 1290, 1350, 1410, 1560]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.15 | 0.003 | [[1650, 1665, 1725, 1785, 1935], [1443, 1458, 1518, 1578, 1728], [1275, 1290, 1350, 1410, 1560]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.15 | 0.005 | [[1642, 1647, 1667, 1687, 1737], [1435, 1440, 1460, 1480, 1530], [1267, 1272, 1292, 1312, 1362]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.15 | 0.01 | [[1650, 1650, 1650, 1650, 1650], [1443, 1443, 1443, 1443, 1443], [1272, 1272, 1272, 1272, 1272]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.1 | 0.001 | [[1627, 1642, 1702, 1762, 1912], [1420, 1435, 1495, 1555, 1705], [1252, 1267, 1327, 1387, 1537]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.1 | 0.003 | [[1627, 1642, 1702, 1762, 1912], [1420, 1435, 1495, 1555, 1705], [1252, 1267, 1327, 1387, 1537]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.1 | 0.005 | [[1619, 1624, 1644, 1664, 1714], [1412, 1417, 1437, 1457, 1507], [1244, 1249, 1269, 1289, 1339]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.1 | 0.01 | [[1627, 1627, 1627, 1627, 1627], [1420, 1420, 1420, 1420, 1420], [1249, 1249, 1249, 1249, 1249]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.07 | 0.001 | [[1510, 1525, 1585, 1645, 1795], [1305, 1320, 1380, 1440, 1590], [1139, 1154, 1214, 1274, 1424]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.07 | 0.003 | [[1510, 1525, 1585, 1645, 1795], [1305, 1320, 1380, 1440, 1590], [1139, 1154, 1214, 1274, 1424]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.07 | 0.005 | [[1502, 1507, 1527, 1547, 1597], [1297, 1302, 1322, 1342, 1392], [1131, 1136, 1156, 1176, 1226]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.07 | 0.01 | [[1510, 1510, 1510, 1510, 1510], [1305, 1305, 1305, 1305, 1305], [1136, 1136, 1136, 1136, 1136]] | 
f0004 | 10 | knn | 30days | 15 | False | 0.4 | 0.05 | 0.001 | [[1359, 1374, 1434, 1494, 1644], [1158, 1173, 1233, 1293, 1443], [994, 1009, 1069, 1129, 1279]] | 
