f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.2 | 0.001 | [[974, 979, 999, 1019, 1069], [808, 813, 833, 853, 903], [688, 693, 713, 733, 783]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.2 | 0.003 | [[1024, 1024, 1024, 1024, 1024], [854, 854, 854, 854, 854], [727, 727, 727, 727, 727]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.2 | 0.005 | [[1058, 1058, 1058, 1058, 1058], [883, 883, 883, 883, 883], [752, 752, 752, 752, 752]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.2 | 0.01 | [[1175, 1175, 1175, 1175, 1175], [995, 995, 995, 995, 995], [851, 851, 851, 851, 851]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.15 | 0.001 | [[974, 979, 999, 1019, 1069], [808, 813, 833, 853, 903], [688, 693, 713, 733, 783]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.15 | 0.003 | [[1024, 1024, 1024, 1024, 1024], [854, 854, 854, 854, 854], [727, 727, 727, 727, 727]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.15 | 0.005 | [[1058, 1058, 1058, 1058, 1058], [883, 883, 883, 883, 883], [752, 752, 752, 752, 752]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.15 | 0.01 | [[1175, 1175, 1175, 1175, 1175], [995, 995, 995, 995, 995], [851, 851, 851, 851, 851]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.1 | 0.001 | [[971, 976, 996, 1016, 1066], [805, 810, 830, 850, 900], [685, 690, 710, 730, 780]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.1 | 0.003 | [[1021, 1021, 1021, 1021, 1021], [851, 851, 851, 851, 851], [724, 724, 724, 724, 724]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.1 | 0.005 | [[1055, 1055, 1055, 1055, 1055], [880, 880, 880, 880, 880], [749, 749, 749, 749, 749]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.1 | 0.01 | [[1172, 1172, 1172, 1172, 1172], [992, 992, 992, 992, 992], [848, 848, 848, 848, 848]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.07 | 0.001 | [[957, 962, 982, 1002, 1052], [791, 796, 816, 836, 886], [671, 676, 696, 716, 766]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.07 | 0.003 | [[1007, 1007, 1007, 1007, 1007], [837, 837, 837, 837, 837], [710, 710, 710, 710, 710]] | 
